"pcs","k","validation_MAE"
20,3,4.38530856389698
20,5,4.39548981987441
20,7,4.47229522348711
50,5,4.474151003155
50,7,4.52572750053915
100,5,4.5262240896249
100,3,4.55569051955006
20,9,4.55684368717116
50,3,4.57720502285004
50,9,4.63616861507651
150,3,4.68503745168893
150,5,4.71035341843526
100,7,4.78794779089397
100,9,4.87362642754551
150,7,4.89575386657508
20,15,4.96411528300217
150,9,4.98633882447705
50,15,4.99848964319841
20,25,5.19001403288986
100,15,5.19883819986808
50,25,5.30172951468214
150,15,5.36559299823103
100,25,5.50523528843937
150,25,5.76501519006042
