"model","test_group","n","MAE","RMSE","correlation"
"pca_linear_without_quinn","all_test",450,3.01848930668212,4.16134590169924,0.98282968817972
"pca_linear_all","all_test",450,3.04298118773023,4.47068414134719,0.980841527887634
"random_forest_all","all_test",450,3.55779329453132,4.84781428851713,0.978303169759665
"knn_pca_all","all_test",450,4.54588550417112,6.24403652327554,0.960454314455853
"pca_linear_without_quinn","non_quinn_test",418,2.82295822790987,4.0195363332752,0.978359306566193
"pca_linear_all","non_quinn_test",418,3.25875113516792,4.63757733556093,0.970716011792
"random_forest_all","non_quinn_test",418,3.81135729240702,5.02810144508474,0.966647816664008
"knn_pca_all","non_quinn_test",418,4.88253313106183,6.47818174672891,0.93735385761381
"knn_pca_all","quinn_test",32,0.148425877911289,0.277142334433059,0.967964704828382
"pca_linear_all","quinn_test",32,0.224486249325371,0.361415194023849,0.970242616284011
"random_forest_all","quinn_test",32,0.245613572280062,0.493469470794776,0.929823626497943
"pca_linear_without_quinn","quinn_test",32,5.57261402314464,5.69832989591555,0.955044055209396
