"top_n","lambda","validation_MAE","validation_RMSE","validation_correlation"
10000,100,2.62794377116588,3.80707143735965,0.987263115402047
10000,10,2.63652307334654,3.84983899499754,0.986953343450551
10000,1,2.63850863936622,3.85514401430165,0.986914732481622
10000,0.1,2.63871305508922,3.8556865879748,0.986910780771708
10000,1000,2.71292215029523,3.75265192075996,0.987656892538901
5000,1000,2.84739916878376,3.94284158106485,0.986026533045169
5000,100,2.94328232973142,4.25430761522815,0.983690933192266
5000,10,3.11569555079976,4.55532356012423,0.981279412425837
5000,1,3.14431335026353,4.60315245344459,0.980881508911713
5000,0.1,3.14734830672063,4.60821919339253,0.980839119360857
2000,1000,3.2533595204412,4.41175492456314,0.982477849396103
2000,100,3.28976380564449,4.73741305089708,0.979937801101232
1000,100,3.52414522453683,5.062297422253,0.976907157410616
1000,1000,3.58212413983798,4.91465874988687,0.978126663563351
500,100,3.6228295538086,5.05144855520039,0.977049607385988
500,1000,3.64420361399927,4.89972171756161,0.97825547294347
500,10,4.03344172842471,5.71067155099145,0.970942045007964
500,1,4.18607028838765,5.93967337793956,0.968689636102068
500,0.1,4.20847928612134,5.97030168923147,0.968383731991125
2000,10,4.37346033982181,6.17182328080747,0.966561041502422
1000,10,4.53413898637152,6.35619855697888,0.963860602635451
2000,1,5.27122065201819,7.4026346939886,0.953847134010719
2000,0.1,5.46619660845904,7.67962612801211,0.950892712093645
1000,1,5.68421738647665,7.76230199429791,0.947127986774852
1000,0.1,5.95262844355069,8.10606095698196,0.942665186125099
