"top_n","k","blend","validation_MAE","validation_RMSE","validation_correlation"
100,100,1,6.01509502716387,7.74657959279819,0.946199459325743
100,75,1,6.02756823374615,7.76724065739125,0.945907522550148
100,50,1,6.08539242444396,7.82060664957142,0.94507155592072
100,25,1,6.10676896850535,7.87829133933032,0.944464556662553
100,100,0.75,6.1194907236492,7.89678416493004,0.9444404002508
100,75,0.75,6.12200258925883,7.88132045645878,0.944704778008396
100,50,0.75,6.14984976920749,7.89067872010595,0.944542617093597
100,25,0.75,6.15837148841033,7.90407905077583,0.944584227516989
100,15,0.75,6.26415739704512,8.03704765547167,0.94265678166233
100,15,1,6.28862299929171,8.09972725000433,0.941192987043937
100,75,0.5,6.29002420843799,8.16520374330284,0.940713376724078
100,100,0.5,6.29435907611213,8.19156359341614,0.940264031002278
100,50,0.5,6.30272631810633,8.15358637039131,0.940895019685027
100,25,0.5,6.30522027792904,8.14294753826141,0.941252372412914
250,50,1,6.30659051039287,8.11470359078995,0.940782349748555
250,75,1,6.32663056476287,8.12300941224139,0.940882224415966
250,25,1,6.33705921809141,8.19071191525215,0.93938317084437
250,100,1,6.34773642011988,8.15320884336425,0.94046753125028
100,15,0.5,6.35544427768862,8.20750994952127,0.940322126113585
250,50,0.75,6.40243289307739,8.21728419780472,0.939647181934556
250,25,0.75,6.41797766024614,8.23126260392533,0.939261818503008
250,75,0.75,6.42288819636572,8.25325061090074,0.939246794877487
250,100,0.75,6.44119543711619,8.29334017650481,0.938645949145119
250,15,1,6.44566348251163,8.41707061728553,0.935725623870529
250,15,0.75,6.45865732330088,8.37197793677963,0.936960098073014
100,75,0.25,6.46515454427113,8.54794173946958,0.93479442240672
100,100,0.25,6.46608390176356,8.56638459973612,0.934463991247276
100,50,0.25,6.46977606858017,8.53539896659847,0.935007832354829
100,25,0.25,6.46987739899211,8.52206494344916,0.935331749611546
100,15,0.25,6.49171184471374,8.54343431782779,0.935028122132812
250,50,0.5,6.53205166403184,8.4758602773209,0.935837797321776
250,25,0.5,6.53575038967405,8.46096332040922,0.935978007878651
250,75,0.5,6.55099836005085,8.51479413426762,0.935295261548352
250,15,0.5,6.55659464986957,8.53085158969867,0.934788500962715
250,100,0.5,6.57212713130403,8.54964809048696,0.934739867499751
100,15,0,6.63614666610997,8.9723211407579,0.927713031789
100,25,0,6.63614666610997,8.9723211407579,0.927713031789
100,50,0,6.63614666610997,8.9723211407579,0.927713031789
100,75,0,6.63614666610997,8.9723211407579,0.927713031789
100,100,0,6.63614666610997,8.9723211407579,0.927713031789
250,50,0.25,6.6722903320695,8.81983066578112,0.930294992969677
250,25,0.25,6.67299194309405,8.80366143681149,0.930526654722894
250,15,0.25,6.68342019126594,8.82686520004655,0.93010743964468
250,75,0.25,6.68460883449831,8.84430042690498,0.929913565117368
250,100,0.25,6.69410939254928,8.86415112206348,0.929576415348624
250,15,0,6.81544158101426,9.1985011587679,0.923748907826681
250,25,0,6.81544158101426,9.1985011587679,0.923748907826681
250,50,0,6.81544158101426,9.1985011587679,0.923748907826681
250,75,0,6.81544158101426,9.1985011587679,0.923748907826681
250,100,0,6.81544158101426,9.1985011587679,0.923748907826681
500,75,1,7.32146022050926,9.49833866064324,0.918094642501203
500,100,1,7.34025867052537,9.47412141570671,0.918677339994756
500,50,1,7.34375026087577,9.54141782829892,0.917078561615376
500,25,1,7.38871444237003,9.64004289080043,0.914786899109596
500,50,0.75,7.4376134240371,9.64621917755646,0.91553889740618
500,75,0.75,7.4413028944252,9.63345854244508,0.915928544409784
500,100,0.75,7.45986858926814,9.642099462912,0.915834034064646
500,25,0.75,7.46384738435468,9.66755622166449,0.914842469612716
500,15,1,7.53477410199291,9.79209188230197,0.911940624742728
500,15,0.75,7.53538354725794,9.73959465945992,0.913514438192333
500,50,0.5,7.58359393001649,9.89298983569744,0.910973007568842
500,25,0.5,7.58710150649844,9.88133772854783,0.911040693432286
500,75,0.5,7.58969438425744,9.89533754063467,0.911019922724062
500,15,0.5,7.60548534812334,9.90139709133561,0.910689807413859
500,100,0.5,7.60612444811919,9.91327636151605,0.910714019316661
500,25,0.25,7.71749461636424,10.1874722914717,0.905082472941268
500,15,0.25,7.72020426196975,10.186295094033,0.905122917711575
500,50,0.25,7.72247770895601,10.2016551974275,0.904872847770796
500,75,0.25,7.72760689943183,10.206974363623,0.904811518401507
500,100,0.25,7.73817131658585,10.2196597490051,0.904573029375642
500,15,0,7.86692852334142,10.5270488931573,0.898105530113207
500,25,0,7.86692852334142,10.5270488931573,0.898105530113207
500,50,0,7.86692852334142,10.5270488931573,0.898105530113207
500,75,0,7.86692852334142,10.5270488931573,0.898105530113207
500,100,0,7.86692852334142,10.5270488931573,0.898105530113207
1000,100,1,8.15309915124002,10.5636384959645,0.897171094513791
1000,75,1,8.16871595477897,10.6079672910936,0.896098597387004
1000,50,1,8.23246148120472,10.6971892695363,0.894214971076487
1000,75,0.75,8.27407392324023,10.7181912680463,0.894083151496832
1000,100,0.75,8.28229309718167,10.7016708980108,0.894531874587701
1000,25,1,8.29239589731512,10.7512607060596,0.892951549820979
1000,50,0.75,8.31375494599465,10.7615204751141,0.893190217527542
1000,25,0.75,8.31914832287132,10.7427996364028,0.893599723820011
1000,25,0.5,8.41401474960035,10.9106363696342,0.890077078215916
1000,75,0.5,8.42081383896835,10.9326165759921,0.889559515771807
1000,100,0.5,8.42908362083441,10.9304289970576,0.88966841835891
1000,50,0.5,8.44158678996886,10.9489389810984,0.889216786031851
1000,15,0.75,8.44976030035689,10.8588853038315,0.890758691746533
1000,15,1,8.47995309462123,10.9626383778729,0.887948750064426
1000,15,0.5,8.5006348301486,10.9576896688223,0.888840869948834
1000,25,0.25,8.55445162951197,11.1628204953696,0.884449547679584
1000,75,0.25,8.56518619126446,11.1857323363234,0.883914067102903
1000,50,0.25,8.57316460563949,11.18928233956,0.883839104022845
1000,100,0.25,8.57442177453265,11.1880245902493,0.883892470052216
1000,15,0.25,8.58704520200878,11.1734716272365,0.884114524511247
1000,15,0,8.70360191642171,11.4451438721798,0.877876923797422
1000,25,0,8.70360191642171,11.4451438721798,0.877876923797422
1000,50,0,8.70360191642171,11.4451438721798,0.877876923797422
1000,75,0,8.70360191642171,11.4451438721798,0.877876923797422
1000,100,0,8.70360191642171,11.4451438721798,0.877876923797422
2000,100,1,9.39216292497541,12.1294999360879,0.86067184645809
2000,75,1,9.4094446867118,12.1358883533905,0.860231344875899
2000,50,1,9.4393604761058,12.1978945029384,0.858342122435505
2000,75,0.75,9.48819133119419,12.2029418829192,0.858880290242589
2000,50,0.75,9.49016595767714,12.2217031476102,0.858197484992017
2000,100,0.75,9.49806762498162,12.2146720276144,0.858805472738531
2000,25,1,9.54745600166618,12.2614901106383,0.85641933897653
2000,25,0.75,9.55410752473046,12.2450940525065,0.857381132101466
2000,50,0.5,9.59444154260917,12.3557631373113,0.855063753733537
2000,75,0.5,9.61109558516342,12.3572850311543,0.855178336864136
2000,25,0.5,9.62196456917794,12.3574512032854,0.854851672464581
2000,100,0.5,9.62802324924675,12.3725281421483,0.854935763267446
2000,15,0.5,9.65677872541043,12.3813806240385,0.853966571135631
2000,15,0.75,9.66863248346694,12.3309959229837,0.854726292733461
2000,50,0.25,9.73166504689562,12.5414228420902,0.850464907646306
2000,15,1,9.7399961855624,12.448955191299,0.850933673889979
2000,25,0.25,9.74077389152755,12.5373874925848,0.850482030046915
2000,75,0.25,9.74409278438193,12.5471380235918,0.850387597559177
2000,15,0.25,9.74501439929166,12.5358498773889,0.85040447199615
2000,100,0.25,9.75551950175557,12.5570898390674,0.850200252904745
2000,15,0,9.87621722273936,12.7434460681043,0.845268040063927
2000,25,0,9.87621722273936,12.7434460681043,0.845268040063927
2000,50,0,9.87621722273936,12.7434460681043,0.845268040063927
2000,75,0,9.87621722273936,12.7434460681043,0.845268040063927
2000,100,0,9.87621722273936,12.7434460681043,0.845268040063927
5000,50,0.5,10.9492793562412,13.9007841648082,0.810728548261952
5000,75,0.5,10.9508427628981,13.9141352987819,0.810419708303387
5000,100,0.5,10.9540491006473,13.9155237583643,0.81040187894809
5000,100,0.75,10.9541356310781,13.9195181145063,0.810179360547755
5000,75,0.75,10.9697565071244,13.9324664552205,0.809763629886319
5000,50,0.75,10.9709817234918,13.9319287585686,0.809582801807692
5000,50,0.25,10.9747967006066,13.9373104913342,0.809749310975242
5000,75,0.25,10.9851174356271,13.9493553024802,0.809452505197653
5000,100,0.25,10.9912675800445,13.954172273711,0.809320189554285
5000,100,1,10.9927826540482,13.9825105846739,0.808091043126547
5000,25,0.25,11.0042419107279,13.9790099663576,0.808204229072404
5000,15,0.25,11.0184041708136,14.0079791699136,0.807213831247348
5000,75,1,11.0283193100882,14.0217159866341,0.806806116503565
5000,50,1,11.0433867243357,14.0494754938153,0.805638631980154
5000,25,0.5,11.043969399666,14.0138420447373,0.806751186107753
5000,15,0,11.0508001629543,14.0207447539115,0.807362755935637
5000,25,0,11.0508001629543,14.0207447539115,0.807362755935637
5000,50,0,11.0508001629543,14.0207447539115,0.807362755935637
